Unnamed: 0,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,content,timeElapsedInTurn,timeElapsedInTrial,eventType,practice,individualPracticeAttempts,turnStartTime,trialStartTime,flagged
0,5ef78389ce2f7f58fcd0a350,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279369916.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,place the red one 3 from the left and the blue 3 from the right,60567,60567,chatMessage,True,,,,False
1,5ef783bace2f7f58fcd0a358,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279418484.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,"close, but put the towers starting on the third blocks from each side
",20018,20018,chatMessage,True,,,,False
2,5ef783e4ce2f7f58fcd0a35e,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279460649.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,0,0,put a blue block three from the left~~~ ,28166,28166,chatMessage,False,,,,False
3,5ef78401ce2f7f58fcd0a365,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279489995.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,2,0,place a red block on top of the left side of the blue block and then another red on top of that red,21993,57512,chatMessage,False,,,,False
4,5ef7842ace2f7f58fcd0a36e,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279530677.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,4,0,Now place a blue block on top of that that lines up with the bottom blue block,24789,98193,chatMessage,False,,,,False
5,5ef78461ce2f7f58fcd0a37d,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279585887.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,6,0,"remove that last blue block, place it on top of the red blocks",29367,153402,chatMessage,False,,,,False
6,5ef7848ace2f7f58fcd0a388,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279626687.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,8,0,"place a red block on the second grid from the right of the screen
",20695,194201,chatMessage,False,,,,False
7,5ef784a8ce2f7f58fcd0a390,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279656348.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,10,0,now place another red block three more space to the left of that one,18272,223861,chatMessage,False,,,,False
8,5ef784ccce2f7f58fcd0a39c,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279692807.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,12,0,"place two blue blocks next to each other connecting on top of the two red blocks
",20376,260321,chatMessage,False,,,,False
9,5ef78501ce2f7f58fcd0a3ab,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279745969.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,0,0,place a blue block starting in the second grid from the left,38147,38147,chatMessage,False,,,,False
10,5ef78519ce2f7f58fcd0a3b3,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279769783.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,2,0,"place another blue block directly to the right of it
",15959,61969,chatMessage,False,,,,False
11,5ef78532ce2f7f58fcd0a3b9,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279794789.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,4,0,stack two red blocks on top of eachother on the left side of the first blue block,16323,86975,chatMessage,False,,,,False
12,5ef78557ce2f7f58fcd0a3c2,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279831785.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,6,0,place a blue block starting in the 3rd grid from the right,18839,123971,chatMessage,False,,,,False
13,5ef78573ce2f7f58fcd0a3c6,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279859287.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,8,0,stack two red blocks on top of eachother on top of the left side of that blue block,16311,151473,chatMessage,False,,,,False
14,5ef78590ce2f7f58fcd0a3cf,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279888759.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,10,0,and place a blue block on top of those red blocks that is lined up with the bottom one,15289,180943,chatMessage,False,,,,False
15,5ef785c6ce2f7f58fcd0a3dd,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279942026.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2.0,0,0,Do the same L shape on the left side as last time with 2x blue and 2x red two spots from the left,36762,36762,chatMessage,False,,,,False
16,5ef785f3ce2f7f58fcd0a3eb,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279987146.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2.0,2,0,"place a red block two from the right, then a gap of two and another red block then two blues connect",25957,81888,chatMessage,False,,,,False
17,5ef78629ce2f7f58fcd0a3fd,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280041237.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2.0,4,0,just place the other blue on on top of one of the red blocks,24476,135974,chatMessage,False,,,,False
18,5ef78661ce2f7f58fcd0a410,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280097994.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,3.0,0,1,"two blocks from the left place a red, then space of two and another red~~~ 2 blues on top of them",29943,29943,chatMessage,False,,,,False
19,5ef78696ce2f7f58fcd0a425,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280150271.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,3.0,2,1,"3 from the right place a blue, 2x red stacked on the left side of it, then another blue on top",23742,82221,chatMessage,False,,,,False
20,5ef786d6ce2f7f58fcd0a448,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280214108.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,4.0,0,1,tall c-shape again three from the left~~~ then tall L-shape two from the right,26475,26475,chatMessage,False,,,,False
21,5ef78712ce2f7f58fcd0a469,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280274821.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,4.0,2,1,"place the last blue to the right of the other blue block on the L
",21511,87196,chatMessage,False,,,,False
