Unnamed..0,X_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,content,timeElapsedInTurn,timeElapsedInTrial,eventType,practice,individualPracticeAttempts,turnStartTime,trialStartTime,word_count,char_count,flagged
2,5ef783e4ce2f7f58fcd0a35e,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279460649,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,0,0,put a blue block three from the left~~~ ,28166,28166,chatMessage,False,NA,NA,NA,9,40,False
3,5ef78401ce2f7f58fcd0a365,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279489995,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,2,0,place a red block on top of the left side of the blue block and then another red on top of that red,21993,57512,chatMessage,False,NA,NA,NA,23,99,False
4,5ef7842ace2f7f58fcd0a36e,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279530677,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,4,0,Now place a blue block on top of that that lines up with the bottom blue block,24789,98193,chatMessage,False,NA,NA,NA,17,78,False
5,5ef78461ce2f7f58fcd0a37d,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279585887,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,6,0,"remove that last blue block, place it on top of the red blocks",29367,153402,chatMessage,False,NA,NA,NA,13,62,False
6,5ef7848ace2f7f58fcd0a388,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279626687,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,8,0,"place a red block on the second grid from the right of the screen
",20695,194201,chatMessage,False,NA,NA,NA,14,66,False
7,5ef784a8ce2f7f58fcd0a390,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279656348,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,10,0,now place another red block three more space to the left of that one,18272,223861,chatMessage,False,NA,NA,NA,14,68,False
8,5ef784ccce2f7f58fcd0a39c,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279692807,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,12,0,"place two blue blocks next to each other connecting on top of the two red blocks
",20376,260321,chatMessage,False,NA,NA,NA,16,81,False
9,5ef78501ce2f7f58fcd0a3ab,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279745969,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,0,0,place a blue block starting in the second grid from the left,38147,38147,chatMessage,False,NA,NA,NA,12,60,False
10,5ef78519ce2f7f58fcd0a3b3,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279769783,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,2,0,"place another blue block directly to the right of it
",15959,61969,chatMessage,False,NA,NA,NA,10,53,False
11,5ef78532ce2f7f58fcd0a3b9,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279794789,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,4,0,stack two red blocks on top of eachother on the left side of the first blue block,16323,86975,chatMessage,False,NA,NA,NA,17,81,False
12,5ef78557ce2f7f58fcd0a3c2,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279831785,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,6,0,place a blue block starting in the 3rd grid from the right,18839,123971,chatMessage,False,NA,NA,NA,12,58,False
13,5ef78573ce2f7f58fcd0a3c6,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279859287,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,8,0,stack two red blocks on top of eachother on top of the left side of that blue block,16311,151473,chatMessage,False,NA,NA,NA,18,83,False
14,5ef78590ce2f7f58fcd0a3cf,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279888759,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,10,0,and place a blue block on top of those red blocks that is lined up with the bottom one,15289,180943,chatMessage,False,NA,NA,NA,19,86,False
