Unnamed: 0,_id,assignmentId,content,eventType,gameid,individualPracticeAttempts,iterationName,leftTarget,practice,repNum,rightTarget,time,timeElapsedInTrial,timeElapsedInTurn,trialNum,trialStartTime,turnNum,turnStartTime,word_count,char_count,flagged
0,5ef78389ce2f7f58fcd0a350,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,place the red one 3 from the left and the blue 3 from the right,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,vertical,True,practice,horizontal,1593279369916.0,60567,60567,,,0,,15,63,False
1,5ef783bace2f7f58fcd0a358,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,"close, but put the towers starting on the third blocks from each side
",chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,vertical,True,practice,horizontal,1593279418484.0,20018,20018,,,0,,13,70,False
2,5ef783e4ce2f7f58fcd0a35e,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,put a blue block three from the left~~~ ,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279460649.0,28166,28166,0.0,,0,,9,40,False
3,5ef78401ce2f7f58fcd0a365,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,place a red block on top of the left side of the blue block and then another red on top of that red,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279489995.0,57512,21993,0.0,,2,,23,99,False
4,5ef7842ace2f7f58fcd0a36e,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Now place a blue block on top of that that lines up with the bottom blue block,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279530677.0,98193,24789,0.0,,4,,17,78,False
5,5ef78461ce2f7f58fcd0a37d,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,"remove that last blue block, place it on top of the red blocks",chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279585887.0,153402,29367,0.0,,6,,13,62,False
6,5ef7848ace2f7f58fcd0a388,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,"place a red block on the second grid from the right of the screen
",chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279626687.0,194201,20695,0.0,,8,,14,66,False
7,5ef784a8ce2f7f58fcd0a390,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,now place another red block three more space to the left of that one,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279656348.0,223861,18272,0.0,,10,,14,68,False
8,5ef784ccce2f7f58fcd0a39c,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,"place two blue blocks next to each other connecting on top of the two red blocks
",chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,C,False,0,Pi,1593279692807.0,260321,20376,0.0,,12,,16,81,False
9,5ef78501ce2f7f58fcd0a3ab,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,place a blue block starting in the second grid from the left,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,C,1593279745969.0,38147,38147,1.0,,0,,12,60,False
10,5ef78519ce2f7f58fcd0a3b3,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,"place another blue block directly to the right of it
",chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,C,1593279769783.0,61969,15959,1.0,,2,,10,53,False
11,5ef78532ce2f7f58fcd0a3b9,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,stack two red blocks on top of eachother on the left side of the first blue block,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,C,1593279794789.0,86975,16323,1.0,,4,,17,81,False
12,5ef78557ce2f7f58fcd0a3c2,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,place a blue block starting in the 3rd grid from the right,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,C,1593279831785.0,123971,18839,1.0,,6,,12,58,False
13,5ef78573ce2f7f58fcd0a3c6,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,stack two red blocks on top of eachother on top of the left side of that blue block,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,C,1593279859287.0,151473,16311,1.0,,8,,18,83,False
14,5ef78590ce2f7f58fcd0a3cf,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,and place a blue block on top of those red blocks that is lined up with the bottom one,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,C,1593279888759.0,180943,15289,1.0,,10,,19,86,False
15,5ef785c6ce2f7f58fcd0a3dd,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Do the same L shape on the left side as last time with 2x blue and 2x red two spots from the left,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,Pi,1593279942026.0,36762,36762,2.0,,0,,23,97,False
16,5ef785f3ce2f7f58fcd0a3eb,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,"place a red block two from the right, then a gap of two and another red block then two blues connect",chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,Pi,1593279987146.0,81888,25957,2.0,,2,,21,100,False
17,5ef78629ce2f7f58fcd0a3fd,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,just place the other blue on on top of one of the red blocks,chatMessage,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,pilot0,L,False,0,Pi,1593280041237.0,135974,24476,2.0,,4,,14,60,False
